LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,Foundation,BsmtExposure,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
NA,9500,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,No,1394,SBrkr,1394,0,1,3,1,6,Attchd,2,514,WD,Normal,159000
101,9150,Pave,IR1,Lvl,Corner,1Fam,SLvl,Gable,Plywood,Plywood,CBlock,Gd,1099,SBrkr,1431,0,1,3,1,6,Basment,1,296,WD,Normal,165000
78,7800,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,HdBoard,HdBoard,PConc,No,1268,SBrkr,1268,0,1,2,1,7,Attchd,1,244,WD,Normal,132000
NA,9830,Pave,IR1,Lvl,Corner,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,No,1063,SBrkr,1287,0,1,3,1,7,Detchd,2,576,WD,Normal,162000
NA,8121,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,953,SBrkr,953,711,2,3,1,7,Attchd,2,460,WD,Normal,172400
80,17120,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,WdShing,Plywood,CBlock,NA,0,SBrkr,1120,468,2,4,1,7,Detchd,2,680,WD,Normal,134432
50,7175,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Gable,Plywood,Plywood,CBlock,No,744,SBrkr,752,0,1,2,1,4,Attchd,1,264,WD,Normal,125000
79,10634,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,PConc,No,608,SBrkr,1319,0,1,3,1,5,Attchd,1,270,WD,Normal,123000
65,8200,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,847,SBrkr,847,1081,2,4,1,8,BuiltIn,2,434,WD,Normal,219500
NA,10020,Pave,IR1,Low,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkTil,Gd,683,FuseA,904,0,0,1,1,4,NA,0,0,WD,Normal,61000
57,8846,Pave,IR1,Lvl,CulDSac,1Fam,SFoyer,Gable,VinylSd,VinylSd,PConc,Av,870,SBrkr,914,0,1,2,1,5,Detchd,2,576,WD,Normal,148000
102,11143,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,CemntBd,CmentBd,PConc,No,1580,SBrkr,1580,886,3,4,1,8,Attchd,2,610,WD,Normal,340000
88,11394,Pave,Reg,Lvl,Corner,1Fam,1Story,Hip,VinylSd,VinylSd,PConc,Av,1856,SBrkr,1856,0,1,1,1,8,Attchd,3,834,New,Partial,394432
60,8123,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,982,SBrkr,1007,793,2,3,1,7,Attchd,2,463,WD,Normal,179000
50,5000,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,BrkFace,Wd Sdng,BrkTil,No,1026,SBrkr,1026,665,2,3,1,6,Detchd,1,308,WD,Normal,127000
60,7200,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1293,SBrkr,1301,0,2,2,1,5,Attchd,2,572,New,Partial,187750
79,9245,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,939,SBrkr,939,858,2,3,1,8,Attchd,2,639,WD,Normal,213500
60,9000,Pave,Reg,Lvl,Corner,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,BrkTil,No,784,FuseA,784,0,1,2,1,5,Detchd,2,360,WD,Normal,76000
NA,53107,Pave,IR2,Low,Corner,1Fam,2Story,Gable,HdBoard,HdBoard,PConc,Av,1580,SBrkr,1079,874,2,3,1,9,Attchd,2,501,WD,Normal,240000
43,3182,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Gable,VinylSd,VinylSd,PConc,No,1256,SBrkr,1269,0,2,2,1,6,Attchd,2,430,WD,Normal,192000
58,8410,Pave,Reg,Lvl,FR2,1Fam,1.5Fin,Gambrel,Wd Sdng,VinylSd,PConc,No,658,SBrkr,658,526,1,5,1,8,NA,0,0,WD,AdjLand,81000
72,7200,Pave,Reg,Lvl,Inside,1Fam,SLvl,Hip,MetalSd,MetalSd,CBlock,Av,1041,SBrkr,1125,0,1,3,1,6,Detchd,1,352,WD,Abnorml,125000
93,9382,Pave,IR1,Lvl,CulDSac,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1468,SBrkr,1479,0,2,3,1,6,Attchd,2,577,WD,Normal,191000
96,12474,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,1682,SBrkr,1742,590,2,3,1,9,BuiltIn,3,846,New,Partial,426000
50,8405,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,BrkTil,No,861,SBrkr,961,406,1,4,1,7,Detchd,1,384,WD,Normal,119000
71,12209,Pave,IR1,Lvl,CulDSac,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,804,SBrkr,804,1157,2,3,1,7,BuiltIn,2,560,WD,Normal,215000
NA,8339,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,Slab,NA,0,SBrkr,882,0,1,3,1,5,Attchd,1,294,WD,Normal,106500
NA,7446,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,WdShing,Wd Shng,CBlock,No,788,FuseA,788,0,1,2,1,4,NA,0,0,WD,Abnorml,100000
60,10134,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,CBlock,No,735,FuseA,735,299,1,2,1,5,Detchd,1,240,WD,Normal,109000
68,9571,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,Av,1144,SBrkr,1144,0,1,3,1,6,Attchd,1,596,WD,Normal,129000
60,7200,Pave,Reg,Low,Inside,1Fam,1Story,Hip,MetalSd,MetalSd,CBlock,Av,894,SBrkr,894,0,1,2,1,6,Detchd,2,600,WD,Normal,123000
69,7590,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,CBlock,No,864,SBrkr,876,936,2,4,1,8,Attchd,1,264,WD,Normal,169500
60,8967,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,MetalSd,MetalSd,BrkTil,No,961,Mix,1077,0,1,2,1,6,Detchd,1,338,WD,Abnorml,67000
65,8125,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,CemntBd,CmentBd,PConc,No,1092,SBrkr,1112,438,2,2,1,7,Attchd,2,438,WD,Normal,241000
38,14963,Pave,IR2,Lvl,Inside,TwnhsE,1Story,Gable,BrkFace,BrkFace,PConc,No,1260,SBrkr,1288,0,1,1,1,4,Attchd,2,500,WD,Normal,245500
65,8767,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1310,SBrkr,1310,0,2,3,1,6,Attchd,2,400,New,Partial,164990
60,10200,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,PConc,No,672,SBrkr,672,0,1,2,1,4,Detchd,1,240,WD,Normal,108000
93,12090,Pave,Reg,Lvl,Corner,1Fam,2Story,Hip,VinylSd,VinylSd,PConc,No,1141,SBrkr,1165,1098,2,4,1,10,BuiltIn,2,420,WD,Abnorml,258000
NA,10364,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,MetalSd,MetalSd,PConc,No,806,SBrkr,806,766,2,3,1,7,BuiltIn,2,373,WD,Normal,168000
NA,9991,Pave,IR1,Lvl,Corner,1Fam,1Story,Gable,Plywood,Plywood,CBlock,No,1281,SBrkr,1620,0,2,3,1,8,Attchd,2,490,WD,Normal,150000
51,10480,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,BrkTil,No,1064,FuseA,1166,0,1,3,1,6,Detchd,1,240,WD,Normal,115000
63,15576,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,Wd Sdng,Plywood,BrkTil,No,840,SBrkr,840,840,2,4,1,8,Attchd,1,308,WD,Normal,177000
109,14154,Pave,Reg,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,1063,SBrkr,1071,1101,2,3,1,9,Attchd,3,947,New,Partial,280000
85,10800,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,1034,SBrkr,1050,1028,2,3,1,8,Attchd,3,836,New,Partial,339750
68,9571,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,BrkComm,Brk Cmn,CBlock,No,1276,FuseA,1276,0,1,3,1,5,Attchd,1,350,COD,Abnorml,60000
100,34650,Pave,Reg,Bnk,Inside,2fmCon,1Story,Hip,Wd Sdng,Wd Sdng,CBlock,Mn,1056,SBrkr,1056,0,1,3,1,5,Attchd,2,572,WD,Normal,145000
NA,4403,Pave,IR2,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,PConc,Av,1470,SBrkr,1478,0,2,2,1,7,Attchd,2,484,New,Partial,222000
56,8960,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,WdShing,Wd Shng,CBlock,No,1008,FuseA,1028,0,1,2,1,5,Detchd,2,360,WD,Normal,115000
59,11228,Pave,IR2,Lvl,CulDSac,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,1080,SBrkr,1080,1017,2,3,1,9,Attchd,3,678,WD,Normal,228000
73,8899,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1340,SBrkr,1340,0,2,3,1,6,Attchd,2,396,New,Partial,181134
74,7844,Pave,Reg,Lvl,Inside,1Fam,2Story,Hip,HdBoard,HdBoard,CBlock,No,672,SBrkr,672,728,1,3,1,6,Attchd,2,440,WD,Normal,149500
86,22420,Pave,IR1,Lvl,Inside,1Fam,2Story,Hip,Wd Sdng,Stucco,BrkTil,No,1370,FuseA,1370,1254,2,4,1,10,Detchd,3,864,WD,Normal,239000
60,8160,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,BrkTil,No,756,FuseF,756,378,1,3,1,7,Detchd,1,240,WD,AdjLand,126000
65,8450,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,CBlock,No,1056,SBrkr,1056,0,1,3,1,6,Attchd,1,304,WD,Normal,142000
78,7060,Pave,Reg,Lvl,Inside,Duplex,SFoyer,Gable,VinylSd,VinylSd,PConc,Gd,1344,SBrkr,1344,0,2,2,2,8,Attchd,4,784,WD,Alloca,206300
NA,16635,Pave,IR1,Lvl,FR2,1Fam,1Story,Gable,CemntBd,CmentBd,CBlock,No,1602,SBrkr,1602,0,2,3,1,8,Attchd,2,529,WD,Normal,215000
100,21750,Pave,Reg,HLS,Inside,1Fam,1Story,Hip,HdBoard,HdBoard,CBlock,No,988,FuseA,988,0,1,2,1,4,Attchd,2,520,WD,Normal,113000
80,9200,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,1470,SBrkr,1470,1160,2,4,1,8,Attchd,3,696,WD,Normal,315000
72,9000,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,No,1196,FuseA,1196,0,1,2,1,6,Attchd,1,297,WD,Normal,139000
60,3378,Pave,Reg,HLS,Inside,1Fam,2Story,Gable,HdBoard,HdBoard,CBlock,No,651,SBrkr,707,682,1,3,1,6,Detchd,1,240,WD,Normal,135000
NA,12800,Pave,Reg,Low,Inside,1Fam,SLvl,Gable,Wd Sdng,Wd Sdng,PConc,Gd,1518,SBrkr,1644,0,2,2,1,5,Attchd,2,569,WD,Normal,275000
77,8593,Pave,IR1,Lvl,Inside,1Fam,1Story,Hip,MetalSd,MetalSd,CBlock,No,907,SBrkr,907,0,1,3,1,5,Detchd,1,352,WD,Normal,109008
64,6762,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1208,SBrkr,1208,0,2,2,1,6,Attchd,2,628,New,Partial,195400
130,11457,Pave,IR1,Lvl,Corner,1Fam,1Story,Gable,HdBoard,HdBoard,CBlock,Mn,1392,SBrkr,1412,0,2,3,1,6,Attchd,2,576,WD,Normal,175000
21,1680,Pave,Reg,Lvl,Inside,Twnhs,2Story,Gable,HdBoard,HdBoard,CBlock,No,483,SBrkr,483,504,1,2,1,4,Detchd,1,264,COD,Abnorml,85400
60,5586,Pave,IR1,Bnk,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,BrkTil,No,901,SBrkr,1088,110,1,4,1,7,NA,0,0,ConLD,Abnorml,79900
24,1920,Pave,Reg,Lvl,Inside,TwnhsE,2Story,Gable,HdBoard,HdBoard,CBlock,No,765,SBrkr,765,600,1,2,1,6,Detchd,2,440,WD,Normal,122500
100,10839,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,926,SBrkr,926,678,2,3,1,7,Attchd,2,470,WD,Normal,181000
21,1890,Pave,Reg,Lvl,Inside,Twnhs,SFoyer,Gable,CemntBd,CmentBd,CBlock,Av,630,SBrkr,630,0,1,1,1,3,NA,0,0,WD,Normal,81000
43,10667,Pave,IR2,Lvl,CulDSac,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,799,SBrkr,827,834,2,3,1,6,Attchd,2,550,ConLw,Normal,212000
40,4400,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,Stucco,Stucco,BrkTil,No,648,FuseA,734,384,1,2,1,6,Detchd,2,440,WD,Normal,116000
50,6000,Pave,Reg,Lvl,Inside,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,PConc,No,884,SBrkr,904,0,1,2,1,4,Detchd,1,180,WD,Normal,119000
40,4280,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,WdShing,Stucco,PConc,No,440,SBrkr,694,0,1,2,1,4,Detchd,1,352,WD,Normal,90350
67,12354,Pave,Reg,Lvl,Corner,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,BrkTil,Mn,684,SBrkr,684,512,1,3,1,7,Detchd,2,528,ConLI,Normal,110000
105,15431,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,VinylSd,VinylSd,PConc,Gd,3094,SBrkr,2402,0,2,2,1,10,Attchd,3,672,WD,Normal,555000
92,12108,Pave,Reg,Lvl,Inside,Duplex,1Story,Gable,VinylSd,VinylSd,CBlock,No,1440,FuseF,1440,0,2,4,2,8,NA,0,0,WD,Normal,118000
52,6240,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,PConc,No,1078,SBrkr,1128,445,2,3,1,8,Detchd,2,360,WD,Normal,162900
53,3922,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Gable,WdShing,Wd Shng,PConc,Av,1258,SBrkr,1258,0,2,2,1,6,Attchd,3,648,New,Partial,172500
70,8750,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,915,SBrkr,933,975,2,4,1,8,Attchd,2,493,WD,Normal,210000
73,9855,Pave,Reg,Lvl,Corner,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,CBlock,No,1436,SBrkr,1689,0,1,3,1,7,Attchd,2,480,COD,Normal,127500
137,16492,Pave,IR1,Lvl,Corner,1Fam,1Story,Gable,BrkFace,Plywood,CBlock,No,1517,SBrkr,1888,0,2,2,1,6,Attchd,2,578,WD,Normal,190000
NA,11214,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,930,SBrkr,956,930,2,4,1,10,Attchd,2,431,WD,Normal,199900
50,8600,Pave,Reg,Bnk,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,BrkTil,No,780,SBrkr,780,596,2,3,1,7,Detchd,1,198,WD,Normal,119500
50,6000,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,MetalSd,MetalSd,CBlock,No,649,SBrkr,679,504,1,2,1,6,Detchd,1,308,WD,Normal,120000
70,5684,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,BrkTil,No,813,FuseA,813,0,1,2,1,5,Detchd,1,270,WD,Normal,110000
62,70761,Pave,IR1,Low,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,Gd,1533,SBrkr,1533,0,2,2,1,5,Attchd,2,576,WD,Normal,280000
NA,9303,Pave,IR1,Lvl,Corner,1Fam,2Story,Hip,VinylSd,VinylSd,PConc,No,872,SBrkr,888,868,2,3,1,7,Attchd,2,422,WD,Normal,204000
75,9000,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,768,SBrkr,786,804,2,3,1,6,Attchd,2,676,WD,Normal,210000
63,9297,Pave,Reg,Lvl,Inside,Duplex,1Story,Gable,Plywood,Plywood,CBlock,No,1728,SBrkr,1728,0,2,4,2,8,Detchd,2,560,WD,Family,188000
80,9600,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,HdBoard,HdBoard,CBlock,No,1242,SBrkr,1242,0,1,3,1,6,Attchd,2,528,WD,Normal,175500
34,4571,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,AsbShng,AsbShng,BrkTil,No,624,SBrkr,624,720,1,4,1,7,Detchd,3,513,COD,Abnorml,98000
NA,53227,Pave,IR1,Low,CulDSac,1Fam,1Story,Flat,Plywood,Plywood,CBlock,Gd,1364,SBrkr,1663,0,1,2,1,6,Attchd,2,529,WD,Normal,256000
NA,5100,Pave,Reg,Lvl,Inside,1Fam,2Story,Hip,Stucco,Wd Shng,PConc,No,588,SBrkr,833,833,1,3,1,7,Detchd,1,228,WD,Normal,161000
NA,7015,Pave,IR1,Bnk,Corner,1Fam,1.5Fin,Gable,MetalSd,MetalSd,CBlock,No,709,SBrkr,979,224,1,3,1,5,Detchd,1,352,WD,Normal,110000
75,8004,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,832,SBrkr,832,1103,2,3,1,8,BuiltIn,2,552,New,Partial,263435
60,7200,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,Wd Sdng,Wd Sdng,PConc,No,560,SBrkr,575,560,1,3,1,6,Detchd,2,576,WD,Normal,155000
60,8281,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,864,SBrkr,864,0,1,3,1,5,Detchd,1,360,WD,Normal,62383
74,11988,Pave,IR1,HLS,Inside,1Fam,2Story,Hip,Stucco,Stucco,CBlock,No,715,FuseA,849,811,1,3,1,6,Detchd,1,240,WD,Normal,188700
60,8430,Pave,Reg,HLS,Inside,1Fam,1Story,Gable,HdBoard,HdBoard,CBlock,No,1040,SBrkr,1040,0,2,3,1,5,NA,0,0,WD,Normal,124000
NA,3072,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Hip,VinylSd,VinylSd,PConc,No,1375,SBrkr,1414,0,2,2,1,6,Attchd,2,398,WD,Normal,178740
85,10628,Pave,Reg,Lvl,Inside,1Fam,1Story,Flat,Plywood,Plywood,CBlock,Gd,1277,SBrkr,1277,0,1,2,1,5,Attchd,2,526,WD,Normal,167000
79,9480,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,MetalSd,MetalSd,CBlock,No,728,SBrkr,888,756,1,3,1,7,Attchd,1,312,WD,Normal,146500
98,11428,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1626,SBrkr,1634,0,2,3,1,7,Attchd,3,866,WD,Normal,250000
76,9291,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,HdBoard,HdBoard,PConc,No,832,SBrkr,832,878,2,3,1,7,Attchd,2,506,WD,Normal,187000
NA,6820,Pave,IR1,Lvl,Corner,TwnhsE,1Story,Gable,HdBoard,HdBoard,PConc,Av,1488,SBrkr,1502,0,1,1,1,4,Attchd,2,528,WD,Normal,212000
92,11952,Pave,Reg,Lvl,Inside,1Fam,2Story,Mansard,WdShing,Plywood,CBlock,No,808,SBrkr,1161,808,2,3,1,8,Attchd,2,534,WD,Normal,190000
35,3675,Pave,Reg,Lvl,Inside,TwnhsE,SLvl,Gable,VinylSd,VinylSd,PConc,Gd,547,SBrkr,1072,0,1,2,1,5,Basment,2,525,WD,Normal,148000
110,14977,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Gd,1976,SBrkr,1976,0,2,2,1,7,Attchd,3,908,New,Partial,440000
41,5330,Pave,Reg,Lvl,Inside,TwnhsE,1Story,Gable,CemntBd,CmentBd,PConc,Av,1494,SBrkr,1652,0,2,2,1,6,Attchd,2,499,WD,Normal,251000
80,8480,Pave,Reg,Lvl,Corner,1Fam,1Story,Hip,HdBoard,HdBoard,CBlock,No,970,SBrkr,970,0,1,2,1,5,Detchd,2,624,WD,Normal,132500
75,13125,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Gd,1478,SBrkr,1493,0,2,3,1,7,Attchd,2,508,WD,Normal,208900
105,13693,Pave,Reg,Lvl,Inside,1Fam,2Story,Hip,VinylSd,VinylSd,PConc,Av,2153,SBrkr,2069,574,2,3,1,9,BuiltIn,3,694,WD,Normal,380000
79,10637,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,VinylSd,VinylSd,PConc,Gd,1705,SBrkr,1718,0,2,3,1,7,Attchd,3,826,WD,Normal,297000
50,5925,Pave,Reg,Bnk,Inside,1Fam,1Story,Hip,Stucco,Stucco,BrkTil,No,907,SBrkr,1131,0,1,2,1,7,Detchd,2,672,WD,Alloca,89471
98,16033,Pave,IR1,Lvl,FR2,1Fam,1Story,Hip,VinylSd,VinylSd,PConc,Gd,1833,SBrkr,1850,0,2,3,1,8,Attchd,3,772,WD,Normal,326000
72,11846,Pave,IR1,HLS,Inside,1Fam,1Story,Hip,VinylSd,VinylSd,PConc,Gd,1792,SBrkr,1792,0,2,2,1,6,Attchd,3,874,WD,Normal,374000
50,2500,Pave,Reg,Lvl,Corner,1Fam,2Story,Gable,Stucco,Stucco,PConc,No,910,SBrkr,916,910,1,4,1,7,Attchd,1,164,WD,Normal,155000
32,4500,Pave,Reg,Lvl,FR2,Twnhs,1Story,Hip,VinylSd,VinylSd,PConc,No,1216,SBrkr,1216,0,2,2,1,5,Attchd,2,402,WD,Normal,164000
NA,7758,Pave,IR1,Lvl,Corner,1Fam,1Story,Gable,HdBoard,Plywood,CBlock,No,999,SBrkr,999,0,1,3,1,6,Detchd,1,264,WD,Normal,132500
80,9600,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,1113,SBrkr,1113,0,1,3,1,5,Attchd,1,264,WD,Normal,147000
79,10289,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,MetalSd,MetalSd,CBlock,No,1073,SBrkr,1073,0,1,3,1,6,Attchd,2,515,WD,Normal,156000
70,12243,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,Plywood,Plywood,CBlock,Av,1484,SBrkr,1484,0,2,3,1,7,Attchd,2,487,WD,Normal,175000
60,10800,Pave,Reg,Lvl,Corner,2fmCon,1.5Fin,Gable,Wd Sdng,Wd Sdng,CBlock,No,954,FuseA,1766,648,2,3,2,10,Attchd,2,520,ConLD,Normal,160000
21,1526,Pave,Reg,Lvl,Inside,Twnhs,SFoyer,Gable,CemntBd,CmentBd,CBlock,Av,630,SBrkr,630,0,1,1,1,3,Attchd,1,286,WD,Normal,86000
NA,2665,Pave,Reg,Lvl,Inside,TwnhsE,2Story,Gable,CemntBd,CmentBd,PConc,Mn,264,SBrkr,616,688,1,3,1,4,BuiltIn,1,336,WD,Normal,115000
79,9490,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,CBlock,No,806,FuseA,958,620,1,3,1,5,Attchd,1,240,WD,Normal,133000
105,15578,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,728,SBrkr,728,728,2,3,1,8,Attchd,2,429,New,Partial,172785
70,7931,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,BrkFace,Wd Sdng,CBlock,No,1269,FuseA,1269,0,1,3,1,6,Detchd,1,308,WD,Normal,155000
50,5784,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,BrkTil,No,190,FuseA,886,0,1,2,1,4,Attchd,1,273,WD,Normal,91300
60,7879,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,CBlock,No,720,FuseA,720,0,1,2,1,4,NA,0,0,WD,Abnorml,34900
NA,12692,Pave,IR1,Lvl,Inside,1Fam,1Story,Hip,BrkFace,BrkFace,PConc,No,3200,SBrkr,3228,0,3,4,1,10,Attchd,2,546,WD,Normal,430000
60,9120,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,PConc,No,1026,SBrkr,1133,687,2,4,1,8,Detchd,1,240,WD,Normal,184000
65,7800,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,HdBoard,HdBoard,PConc,No,864,SBrkr,899,0,1,3,1,5,Attchd,1,288,WD,Normal,130000
70,7535,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,912,SBrkr,912,0,1,2,1,5,Attchd,1,297,WD,Normal,120000
21,1890,Pave,Reg,Lvl,Inside,Twnhs,2Story,Gable,HdBoard,HdBoard,CBlock,No,672,SBrkr,672,546,1,3,1,7,Detchd,1,264,WD,Normal,113000
75,9803,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,866,SBrkr,866,902,2,3,1,7,Attchd,2,603,WD,Normal,226700
70,9170,Pave,Reg,Lvl,Corner,1Fam,1Story,Hip,MetalSd,MetalSd,CBlock,No,1214,SBrkr,1214,0,1,2,1,6,Detchd,2,461,WD,Normal,140000
100,15602,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,BrkFace,Wd Sdng,CBlock,No,1501,SBrkr,1801,0,2,1,1,6,Attchd,2,484,WD,Normal,289000
24,2308,Pave,Reg,Lvl,Inside,TwnhsE,2Story,Gable,Plywood,Brk Cmn,CBlock,No,855,SBrkr,855,467,2,3,1,6,Attchd,2,440,WD,Normal,147000
60,7596,Pave,Reg,Lvl,Inside,Duplex,2Story,Hip,Wd Sdng,Wd Sdng,CBlock,No,960,SBrkr,960,1000,2,4,2,10,Detchd,2,400,COD,Normal,124500
80,9554,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,777,SBrkr,1065,846,2,3,1,8,Attchd,2,471,WD,Normal,215000
75,7862,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,No,1218,SBrkr,1218,0,2,2,1,4,Attchd,2,676,New,Partial,208300
60,9600,Pave,Reg,Lvl,Inside,1Fam,2Story,Gambrel,MetalSd,MetalSd,BrkTil,No,689,SBrkr,689,689,2,3,1,7,Detchd,2,360,WD,Normal,161000
80,9600,Pave,Reg,Lvl,Corner,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,No,1041,SBrkr,1041,0,1,3,1,6,Attchd,1,270,WD,Normal,124500
